Part Number,Description,Qty,Column1,Avg Cost
EL-04-1125,front plate internal suit JCCS control cabinet,3,ea,235
EL-04-1126,top plate internal suit JCCS control cabinet,3,ea,150
EL-04-1127,rear plate internal suit JCCS control cabinet,3,ea,235
EL-04-1128,JCCS cabinet internal side panel,6,ea,180.37
EL-04-1129,JCCS cabinet internal side panel,3,ea,150
EL-04-1130,cable kit input & output suit 30kW charger,0,ea,84.5
EL-04-1131,ELB 45 1.5/16 UNO MALE X 1.5/16 JIC MALE,0,ea,86.08
EL-04-1132,2.5mm-8mm copper lug Stud,10,ea,0.3
EL-04-1133,lock assembly suit IPD enclosure,4,ea,17.66
EL-04-1134,Switch outlet surface W/P 1Ph 20A 250V 3 PIN Grey,0,ea,0
EL-04-1135,Swith outlet surface W/P 3Ph 20A 500V 4 PIN,0,ea,163.45
EL-04-1136,Clipsal Switch Weatherproof 2 Gang 20A/10AX250V IP66,0,ea,55
EL-04-1137,JCM mount plate1 suit Volvo FH16,1,ea,339.55
EL-04-1138,JCM mount plate1 suit Volvo FH16,0,ea,335.14
EL-04-1139,3.2 x 6.4mm Rivets Open Aluminium Blind - 100 Pack,0,ea,0
EL-04-1140,Selleys 310ml Grey Flexiseal Polyurethane Construction Sealant,4,ea,14.21
EL-04-1141,Pine Batten 42x35x4.8,0,ea,9.74
EL-04-1142,P&N 3 Piece Metric Tap Set,0,ea,12.53
EL-04-1143,Irwin Impact Pro Performance 50mm 1/4 Socket Adaptor,0,ea,5.96
EL-04-1144,PVC sheet clear 900 x 600 x 3,0,ea,34.5
EL-04-1145,Zenith 8G x 25mm Galvanised Countersunk Rib Head External Timber Screws - 500 Pack,0,ea,61.4
EL-04-1146,Trojan 6 In1 Multi Paint Scraper,0,ea,7.47
EL-04-1147,Downlight LED 10W,0,ea,17.06
EL-04-1148,Paint Partner 48mm x 30m Silver PVC Duct Tape,0,ea,7.61
EL-04-1149,Click 4 Outlet Power Block with RCD Safety Switch,0,ea,45.07
EL-04-1150,paint dulux 15L deep base low sheen,0,ea,285.78
EL-04-1151,DETA 63A Miniature Circuit Breaker,0,ea,5.48
EL-04-1152,Plastic Grommets (10pk) Craftright,30,ea,2.25
EL-04-1153,Ozito Ø8mm x 1m Digital Inspection Camera ODIC-4810,0,ea,64.77
EL-04-1154,"Click 6W 470lm A60 Cool White LED E27 Globe - 2 Pack (Aisle 45, Bay 10)",0,ea,1.73
EL-04-1155,"Trojan Cut Resistant Safety Gloves XL (Aisle 15, Bay 12)",0,ea,8.55
EL-04-1156,Trojan Cut Resistant Safety Gloves - X Large,0,ea,6.96
EL-04-1157,trojan large leather palm riggers glove,0,ea,11.82
EL-04-1158,Trojan Extra Large Leather Palm Riggers Gloves,0,ea,6.89
EL-04-1159,Trojan XL Leather Riggers Gloves,0,ea,0
EL-04-1160,Trojan Large Utility Gloves,5,ea,9.12
EL-04-1161,AA Alkaline Batteries - 50 Pack,0,ea,25.89
EL-04-1162,AAA Alkaline Batteries - 50 Pack,0,ea,10.35
EL-04-1163,Dy-Mark 4L Hammered Charcoal MetalPro Quick Dry,0,ea,100.54
EL-04-1164,Ecoply non structual 2400x1200,0,ea,38.17
EL-04-1165,Sutton Tools 8.0mm Viper Cobalt Jobber Drill Bit,2,ea,18.32
EL-04-1166,Sutton Tools 9.0mm Viper Cobalt Jobber Drill Bit,0,ea,21.72
EL-04-1167,Craftright Clear Safety Goggles,0,ea,3.89
EL-04-1168,Tactix Class 5 Ear Plugs - 200 Pack,0,ea,33.68
EL-04-1169,DETA 20m 18mm Black Insulation PVC Tape - 5 Pack - Black,11,ea,1.65
EL-04-1170,DETA 20m x 18mm Red Insulation PVC Tape - 5 Pack,9,ea,1.21
EL-04-1171,Ecoply 2400 x 1200 x 17mm F14 Formrite Formply,0,ea,78.59
EL-04-1172,Karcher WD Cartridge Filter,0,ea,33.67
EL-04-1173,Craftright Clear Safety Glasses,0,ea,14.38
EL-04-1174,Trojan 5m Tape Measure,0,ea,6.89
EL-04-1175,UNi-PRO 160mm Paint Tray Liner,0,ea,1.52
EL-04-1176,"Gorilla 48mm x 27m Black Cloth Tape (Aisle 19, Bay 4)",0,ea,21.48
EL-04-1177,Trojan 2L Oil Measuring Jug,0,ea,0
EL-04-1178,Suntuf 400 x 400 x 10mm Clear Palsun Polycarbonate Sheet,0,ea,40.68
EL-04-1179,"Metal Mate 16 x 16 x 1.5mm 1m Aluminium Channel - Silver 1m (Aisle 7, Bay 4)",0,ea,8.64
EL-04-1180,Paint Partner 48mm x 15m Silver Duct Tape - 4 Pack,2,ea,8.63
EL-04-1181,24mm x 55m Rough Surface Extra Strength Painter's Masking Tape,0,ea,8.38
EL-04-1182,ScotchBlue 48mm x 55m Multi-Surface Painter’s Masking Tape,1,ea,11.92
EL-04-1183,Parfix 750g Expanding Foam Filler,1,ea,14.4
EL-04-1184,Parfix 300G Clear All Purpose Silicone,0,ea,7.86
EL-04-1185,Dulux 4L Metalshield Epoxy Enamel Gloss Paint Black,0,ea,97.51
EL-04-1186,Dulux 4L Metalshield All Surface Primer Grey - 4L,1,ea,80.24
EL-04-1187,Dulux 300g Metalshield Hammered Finish Spray Paint Charcoal,15,ea,16.76
EL-04-1188,Dulux 300g Metalshield Epoxy Enamel Flat Black,0,ea,13.7
EL-04-1189,Dulux 300g Metalshield Bright Zinc Anti-Corrosive Finish Silver,0,ea,17.18
EL-04-1190,DIGGERS 1L Methylated Spirits,0,ea,4.88
EL-04-1191,DY-Mark 400g MetalPro Silver Zinc Primer/Top Coat,2,ea,13.58
EL-04-1192,UNI - PRO 100mm x 9mm Nap Little Ripper High Density Foam Roller Cover - 10Pack,1,ea,12.53
EL-04-1193,UNi-PRO 160mm Mini Roller Frame,0,ea,3.45
EL-04-1194,"24mm x 55m Sharp Lines Multi-Surface Masking Tape (Aisle 20, Bay 4)",0,ea,9.8
EL-04-1195,"Ramset 10 x 100mm Ultra-Long Hex Anchor RamPlug - 10 Pack (Aisle 10, Bay 4)",0,ea,0
EL-04-1196,"Ramset 7 x 35mm Green Wall Plugs - 25 Pack (Aisle 10, Bay 6)",0,ea,1.74
EL-04-1197,Ramset 8 x 40mm DynaBolt Plus Hex Nut Bolt,0,ea,2.5
EL-04-1198,Zenith 8G x 15mm Galvanised Button Head Stitching Timber Screws - 100 Pack,0,ea,9.79
EL-04-1199,Drain Cleaner,0,ea,9.84
EL-04-1200,stick on strip velcro 25mm 1m,0,ea,8.88
EL-04-1201,Croc Grip 500 x 150mm “Watch Your Step” Anti-Slip XL Step,1,ea,7.69
EL-04-1202,Croc Grip 25m x 50mm Yellow Anti Slip Tape,3,ea,46.63
EL-04-1203,Scotch-Mount 2.54 x 1016 cm Extreme Double-Sided Mounting Tape Mega Roll,0,ea,0
EL-04-1204,Syneco 20mm x 40m Double Sided Mounting Foam Tape,0,ea,9.5
EL-04-1205,"25mm x 3m GRUNT Ratchet Tie Down Straps - 2 Pack (Aisle 12, Bay 16)",0,ea,0
EL-04-1206,Varta AA Alkaline Batteries - 30 Pack,0,ea,10.62
EL-04-1207,Varta AAA Alkaline Batteries - 24 Pack,2,ea,10.35
EL-04-1208,Arlec 1m Piggyback Extension Lead - 1m,0,ea,4.42
